Source / Medium,Sessions,Users,New Users,Bounce Rate,Pageviews,Avg. Session Duration,Transactions,Revenue,Conversion Rate (%),Pages per Session,Revenue per User,New User Ratio,Revenue per Transaction,Cluster
A,1702468.0,1110513.0,913890.0,0.6691166666666666,4246914.0,78.08333333333333,7566.0,1294136.0,0.004566666666666667,2.494563187090741,1.1653497077476807,0.8229439907502208,171.04625958234206,2.0
AA,3012.0,2697.0,2399.0,0.5788777777777778,7901.0,142.66666666666666,1.0,81.0,0.0006222222222222224,2.6231739707835326,0.030033370411568408,0.8895068594734891,81.0,2.0
B,840512.0,696901.0,598532.0,0.5717916666666667,2640848.0,123.83333333333333,2838.0,540692.0,0.003616666666666667,3.1419515723749334,0.775851950277012,0.8588479568834024,190.5186751233263,2.0
BB,1133.0,382.0,9.0,0.6505333333333333,2066.0,83.0,1.0,103.0,0.0004666666666666667,1.823477493380406,0.2696335078534031,0.02356020942408377,103.0,0.0
C,368662.0,255043.0,202337.0,0.5113666666666666,1138068.0,107.83333333333333,1689.0,207764.0,0.0038083333333333333,3.087022801373616,0.8146234164435017,0.7933446516861863,123.01006512729425,2.0
CC,1765.0,1333.0,823.0,0.33412000000000003,10074.0,262.6,111.0,24440.0,0.0653,5.707648725212465,18.33458364591148,0.6174043510877719,220.18018018018017,1.0
D,127386.0,107241.0,104706.0,0.8602000000000001,157160.0,43.8,2.0,290.0,1e-05,1.2337305512379697,0.0027041896289665334,0.9763616527261029,145.0,2.0
DD,503.0,320.0,209.0,0.4115,2357.0,322.0,9.0,1307.0,0.0179,4.685884691848907,4.084375,0.653125,145.22222222222223,1.0
E,328563.0,185065.0,27504.0,0.5724818181818182,901834.0,112.81818181818181,1148.0,197904.0,0.003936363636363637,2.7447825835532305,1.0693756247804824,0.14861805311647258,172.390243902439,0.0
EE,1138.0,620.0,62.0,0.3111333333333333,6811.0,284.5,61.0,14257.0,0.05621666666666667,5.98506151142355,22.99516129032258,0.1,233.72131147540983,1.0
F,173986.0,142865.0,136956.0,0.5731416666666667,504529.0,133.91666666666666,823.0,149046.0,0.005883333333333333,2.8998252732978513,1.0432646204458755,0.9586392748398838,181.10085054678007,2.0
FF,1455.0,1213.0,1069.0,0.453625,6947.0,187.375,9.0,1548.0,0.006125,4.774570446735395,1.2761747732893651,0.8812860676009893,172.0,2.0
G,86987.0,53214.0,7907.0,0.5614250000000001,253387.0,107.5,617.0,84647.0,0.007350000000000001,2.9129295182038697,1.5906904198143346,0.14858871725485776,137.19124797406806,0.0
GG,219.0,216.0,213.0,0.9863,237.0,2.0,0.0,0.0,0.0,1.082191780821918,0.0,0.9861111111111112,,
H,97793.0,71565.0,57082.0,0.62474,236384.0,78.2,88.0,15067.0,0.00074,2.4171873242461115,0.21053587647593097,0.7976245371340739,171.2159090909091,2.0
HH,215.0,81.0,15.0,0.25579999999999997,1389.0,318.0,3.0,439.0,0.013999999999999999,6.46046511627907,5.419753086419753,0.18518518518518517,146.33333333333334,1.0
I,91971.0,54565.0,35542.0,0.4760666666666667,275471.0,135.66666666666666,392.0,54376.0,0.0095,2.9951941372824042,0.9965362411802438,0.6513699257765967,138.71428571428572,2.0
II,214.0,102.0,24.0,0.42060000000000003,986.0,277.0,3.0,450.0,0.013999999999999999,4.607476635514018,4.411764705882353,0.23529411764705882,150.0,1.0
J,11702.0,11112.0,10013.0,0.58965,29756.0,75.0,27.0,4009.0,0.0023,2.542813194325756,0.36078113750899926,0.9010979121670266,148.4814814814815,2.0
JJ,763.0,610.0,487.0,0.31612,5446.0,298.0,8.0,3880.0,0.01136,7.137614678899083,6.360655737704918,0.7983606557377049,485.0,1.0
K,26254.0,22053.0,18879.0,0.42255,100691.0,121.66666666666667,35.0,5021.0,0.002766666666666667,3.835263197988878,0.22767877386296648,0.8560740035369337,143.45714285714286,2.0
KK,135.0,119.0,112.0,0.2667,546.0,220.0,0.0,0.0,0.0,4.044444444444444,0.0,0.9411764705882353,,
L,24629.0,10271.0,115.0,0.7491125,48695.0,75.375,24.0,3640.0,0.0007625,1.97714076901214,0.3543958718722617,0.011196572875085192,151.66666666666666,0.0
M,23186.0,17944.0,11609.0,0.6207333333333334,84781.0,120.25,197.0,28230.0,0.011725,3.6565599930992843,1.573227819884084,0.6469572001783326,143.2994923857868,2.0
N,7057.0,6315.0,6223.0,0.8424500000000001,11048.0,34.0,0.0,0.0,0.0,1.5655377639223467,0.0,0.9854315122723674,,
O,10882.0,4418.0,67.0,0.74585,24051.0,106.5,9.0,1527.0,0.000725,2.210163572872634,0.3456315074694432,0.015165233137166138,169.66666666666666,0.0
P,25187.0,22477.0,18115.0,0.6175272727272728,57375.0,99.72727272727273,100.0,16480.0,0.003945454545454545,2.2779608528209,0.7331939315744984,0.8059349557325266,164.8,2.0
R,18008.0,13004.0,9290.0,0.47322222222222227,75710.0,205.88888888888889,61.0,9438.0,0.003822222222222222,4.2042425588627275,0.7257766840972009,0.7143955705936635,154.72131147540983,2.0
S,11634.0,6197.0,3705.0,0.18227272727272725,37578.0,261.8181818181818,3907.0,719182.0,0.33182727272727275,3.2300154718927283,116.05325157334194,0.5978699370663224,184.075249552086,3.0
T,5754.0,3357.0,1904.0,0.39635,29809.0,259.5,38.0,4678.0,0.00635,5.180570038234272,1.3935061066428358,0.5671730711945189,123.10526315789474,1.0
U,6336.0,2830.0,1449.0,0.2534090909090909,13857.0,185.36363636363637,1394.0,293292.0,0.22860000000000003,2.187026515151515,103.63674911660777,0.5120141342756184,210.39598278335725,3.0
V,2638.0,2507.0,2412.0,0.5586800000000001,6931.0,78.0,2.0,135.0,0.0008799999999999999,2.627369219105383,0.053849222177901876,0.9621061029118468,67.5,2.0
Y,943.0,913.0,864.0,0.6161,2576.0,96.0,0.0,0.0,0.0,2.731707317073171,0.0,0.9463307776560789,,
Z,6606.0,5383.0,4695.0,0.47174999999999995,28758.0,187.83333333333334,34.0,6994.0,0.005425,4.353315168029065,1.2992754969347948,0.8721902284971206,205.7058823529412,2.0
euromessage / push,125.0,99.0,1.0,0.608,396.0,104.0,0.0,0.0,0.0,3.168,0.0,0.010101010101010102,,
l.K,5644.0,5004.0,4085.0,0.1381,37174.0,229.0,24.0,3990.0,0.0036,6.586463501063076,0.7973621103117506,0.8163469224620303,166.25,1.0
l.M,6247.0,4680.0,2320.0,0.24872222222222223,36376.0,244.55555555555554,40.0,5839.0,0.009177777777777778,5.822955018408837,1.2476495726495727,0.49572649572649574,145.975,1.0
lI,1112.0,660.0,340.0,0.480325,3119.0,103.75,2.0,312.0,0.0015249999999999999,2.804856115107914,0.4727272727272727,0.5151515151515151,156.0,2.0
